J1,J2,J3,J4,J5,J6,J7,J8,B4_px,B4_py,B4_pz,B4_r,B4_p,B4_y,B8_px,B8_py,B8_pz,B8_r,B8_p,B8_y
-1.5213,-0.65549,0.62832,-0.93869,0,0,0,0,0.17262,-0.26449,0.52039,-2.2809,-0.048094,-0.91199,0.9058,0.106,0.109,1.5708,6.1232e-17,1.5708
-1.5213,-0.65549,0.62832,-0.50175,0,0,0,0,0.17262,-0.26449,0.52039,-2.0067,0.29492,-0.87752,0.9058,0.106,0.109,1.5708,6.1232e-17,1.5708
-1.5213,-0.65549,0.62832,-0.32374,0,0,0,0,0.17262,-0.26449,0.52039,-1.8819,0.42947,-0.83316,0.9058,0.106,0.109,1.5708,6.1232e-17,1.5708
-1.5213,-0.65549,0.62832,-0.32374,-0.0041263,0,0,0,0.17262,-0.26449,0.52039,-1.8819,0.42947,-0.83316,0.9058,0.106,0.10673,1.5708,6.1485e-17,1.5749
-1.5213,-0.65549,0.62832,-0.32374,-0.27924,0,0,0,0.17262,-0.26449,0.52039,-1.8819,0.42947,-0.83316,0.88446,0.106,-0.04284,1.5708,7.8109e-17,1.85
-1.5213,-0.65549,0.62832,-0.32374,-0.72427,0,0,0,0.17262,-0.26449,0.52039,-1.8819,0.42947,-0.83316,0.76752,0.106,-0.25602,1.5708,1.018e-16,2.2951
-1.5213,-0.65549,0.62832,-0.32374,-0.76473,0,0,0,0.17262,-0.26449,0.52039,-1.8819,0.42947,-0.83316,0.75241,0.106,-0.27241,1.5708,1.0363e-16,2.3355
-1.5213,-0.65549,0.62832,-0.32374,-0.036493,0,0,0,0.17262,-0.26449,0.52039,-1.8819,0.42947,-0.83316,0.90543,0.106,0.0889,1.5708,6.3466e-17,1.6073
-1.5213,-0.65549,0.62832,-0.32374,0.8212,0,0,0,0.17262,-0.26449,0.52039,-1.8819,0.42947,-0.83316,0.73025,0.106,0.51224,1.5708,1.6412e-17,0.74959
-1.5213,-0.65549,0.62832,-0.32374,1.2015,0,0,0,0.17262,-0.26449,0.52039,-1.8819,0.42947,-0.83316,0.55375,0.106,0.62276,1.5708,4.1282e-18,0.3693
-1.5213,-0.65549,0.62832,-0.32374,1.2015,-0.0041263,0,0,0.17262,-0.26449,0.52039,-1.8819,0.42947,-0.83316,0.55378,0.10815,0.62284,1.5723,0.0038481,0.3693
-1.5213,-0.65549,0.62832,-0.32374,1.2015,-0.4087,0,0,0.17262,-0.26449,0.52039,-1.8819,0.42947,-0.83316,0.54156,0.31453,0.59127,1.7259,0.37968,0.39915
-1.5213,-0.65549,0.62832,-0.32374,1.2015,-0.84564,0,0,0.17262,-0.26449,0.52039,-1.8819,0.42947,-0.83316,0.4967,0.50284,0.47537,1.9576,0.77252,0.52825
-1.5213,-0.65549,0.62832,-0.32374,1.2015,-0.8861,0,0,0.17262,-0.26449,0.52039,-1.8819,0.42947,-0.83316,0.49114,0.51718,0.46098,1.9871,0.80725,0.5492
-1.5213,-0.65549,0.62832,-0.32374,1.2015,-0.84564,0,0,0.17262,-0.26449,0.52039,-1.8819,0.42947,-0.83316,0.4967,0.50284,0.47537,1.9576,0.77252,0.52825
-1.5213,-0.65549,0.62832,-0.32374,1.2015,-0.82136,0,0,0.17262,-0.26449,0.52039,-1.8819,0.42947,-0.83316,0.49994,0.49395,0.48374,1.9408,0.75148,0.51669
-1.5213,-0.65549,0.62832,-0.32374,1.2015,-0.82136,-0.0081725,0,0.17262,-0.26449,0.52039,-1.8819,0.42947,-0.83316,0.50185,0.49394,0.48299,1.9408,0.75148,0.52486
-1.5213,-0.65549,0.62832,-0.32374,1.2015,-0.82136,-0.064812,0,0.17262,-0.26449,0.52039,-1.8819,0.42947,-0.83316,0.51491,0.49356,0.47756,1.9408,0.75148,0.5815
-1.5213,-0.65549,0.62832,-0.32374,1.2015,-0.82136,-0.69595,0,0.17262,-0.26449,0.52039,-1.8819,0.42947,-0.83316,0.63512,0.45139,0.38895,1.9408,0.75148,1.2126
-1.5213,-0.65549,0.62832,-0.32374,1.2015,-0.82136,-0.81732,0,0.17262,-0.26449,0.52039,-1.8819,0.42947,-0.83316,0.65056,0.43615,0.36776,1.9408,0.75148,1.334
-1.5213,-0.65549,0.62832,-0.32374,1.2015,-0.82136,0.38831,0,0.17262,-0.26449,0.52039,-1.8819,0.42947,-0.83316,0.40709,0.48032,0.50608,1.9408,0.75148,0.12838
-1.5213,-0.65549,0.62832,-0.32374,1.2015,-0.82136,1.4887,0,0.17262,-0.26449,0.52039,-1.8819,0.42947,-0.83316,0.21115,0.32593,0.42787,1.9408,0.75148,-0.97206
-1.5213,-0.65549,0.62832,-0.32374,1.2015,-0.82136,1.5292,0,0.17262,-0.26449,0.52039,-1.8819,0.42947,-0.83316,0.20808,0.31854,0.42168,1.9408,0.75148,-1.0125
-1.5213,-0.65549,0.62832,-0.32374,1.2015,-0.82136,1.5697,0,0.17262,-0.26449,0.52039,-1.8819,0.42947,-0.83316,0.20539,0.31114,0.41533,1.9408,0.75148,-1.053
-1.5213,-0.65549,0.62832,-0.32374,1.2015,-0.82136,1.5616,0,0.17262,-0.26449,0.52039,-1.8819,0.42947,-0.83316,0.2059,0.31262,0.41661,1.9408,0.75148,-1.0449
-1.5213,-0.65549,0.62832,-0.32374,1.2015,-0.82136,1.6749,0,0.17262,-0.26449,0.52039,-1.8819,0.42947,-0.83316,0.2002,0.29192,0.39817,1.9408,0.75148,-1.1582
-1.5213,-0.65549,0.62832,-0.32374,1.2015,-0.73653,1.6749,0,0.17262,-0.26449,0.52039,-1.8819,0.42947,-0.83316,0.20495,0.27583,0.41044,1.8871,0.67697,-1.1934
-1.5213,-0.65549,0.62832,-0.32374,1.2015,-0.55852,1.6749,0,0.17262,-0.26449,0.52039,-1.8819,0.42947,-0.83316,0.21323,0.23878,0.43183,1.7926,0.51692,-1.2467
-1.5213,-0.65549,0.62832,-0.32374,1.2015,-0.25913,1.6749,0,0.17262,-0.26449,0.52039,-1.8819,0.42947,-0.83316,0.22142,0.16929,0.453,1.6662,0.2413,-1.294
-1.5213,-0.65549,0.62832,-0.32374,1.2015,-0.34005,1.6749,0,0.17262,-0.26449,0.52039,-1.8819,0.42947,-0.83316,0.21996,0.1887,0.44921,1.6978,0.31629,-1.2853
-1.5213,-0.65549,0.62832,-0.32374,1.2015,-0.80935,1.6749,0,0.17262,-0.26449,0.52039,-1.8819,0.42947,-0.83316,0.2009,0.28971,0.39998,1.9328,0.74102,-1.1636
-1.5213,-0.65549,0.62832,-0.32374,1.2015,-0.955,1.6749,0,0.17262,-0.26449,0.52039,-1.8819,0.42947,-0.83316,0.19177,0.31484,0.37638,2.0425,0.86528,-1.0845
-1.5213,-0.65549,0.62832,-0.32374,1.2015,-1.0602,1.6749,0,0.17262,-0.26449,0.52039,-1.8819,0.42947,-0.83316,0.1844,0.33056,0.35734,2.1432,0.95037,-1.005
-1.5213,-0.65549,0.62832,-0.32374,1.2015,-1.0845,1.6749,0,0.17262,-0.26449,0.52039,-1.8819,0.42947,-0.83316,0.18261,0.33388,0.35273,2.1698,0.96923,-0.9832
-1.5213,-0.65549,0.62832,-0.32374,1.2015,-1.133,1.6749,0,0.17262,-0.26449,0.52039,-1.8819,0.42947,-0.83316,0.17897,0.34015,0.34331,2.2277,1.0059,-0.9349
-1.5213,-0.65549,0.62832,-0.32374,1.2015,-1.2382,1.6749,0,0.17262,-0.26449,0.52039,-1.8819,0.42947,-0.83316,0.17071,0.35202,0.32197,2.3782,1.079,-0.80479
-1.5213,-0.65549,0.62832,-0.32374,1.2015,-1.4405,1.6749,0,0.17262,-0.26449,0.52039,-1.8819,0.42947,-0.83316,0.15378,0.3678,0.27822,2.7933,1.1802,-0.42795
-1.5213,-0.65549,0.62832,-0.32374,1.2015,-1.6104,1.6749,0,0.17262,-0.26449,0.52039,-1.8819,0.42947,-0.83316,0.1389,0.37354,0.2398,-3.0322,1.1995,-0.0020931
-1.5213,-0.65549,0.62832,-0.32374,1.2015,-1.6185,1.6749,0,0.17262,-0.26449,0.52039,-1.8819,0.42947,-0.83316,0.13819,0.37364,0.23795,-3.0101,1.1986,0.018528
-1.5213,-0.65549,0.62832,-0.32374,1.2015,-1.6104,1.6749,0,0.17262,-0.26449,0.52039,-1.8819,0.42947,-0.83316,0.1389,0.37354,0.2398,-3.0322,1.1995,-0.0020931
-1.5213,-0.65549,0.62832,-0.32374,1.2015,-0.28341,1.6749,0,0.17262,-0.26449,0.52039,-1.8819,0.42947,-0.83316,0.22104,0.17515,0.45202,1.6755,0.26383,-1.2916
-1.5213,-0.65549,0.62832,-0.32374,1.2015,1.4158,1.6749,0,0.17262,-0.26449,0.52039,-1.8819,0.42947,-0.83316,0.13964,-0.11583,0.24169,0.40852,-1.1717,-0.48357
-1.5213,-0.65549,0.62832,-0.32374,1.2015,1.6828,1.6749,0,0.17262,-0.26449,0.52039,-1.8819,0.42947,-0.83316,0.11614,-0.11115,0.181,-0.30211,-1.1856,0.17711
-1.5213,-0.65549,0.62832,-0.32374,1.2015,1.9498,1.6749,0,0.17262,-0.26449,0.52039,-1.8819,0.42947,-0.83316,0.093929,-0.089475,0.1236,-0.83454,-1.0479,0.65886
-1.5213,-0.65549,0.62832,-0.32374,1.2015,1.9822,1.6749,0,0.17262,-0.26449,0.52039,-1.8819,0.42947,-0.83316,0.091401,-0.085753,0.11707,-0.87962,-1.0251,0.69766
-1.5213,-0.65549,0.62832,-0.32374,1.2015,1.7556,1.6749,0,0.17262,-0.26449,0.52039,-1.8819,0.42947,-0.83316,0.10989,-0.10689,0.16484,-0.47795,-1.1597,0.33927
-1.5213,-0.65549,0.62832,-0.32374,1.2015,1.3672,1.6749,0,0.17262,-0.26449,0.52039,-1.8819,0.42947,-0.83316,0.14392,-0.1148,0.25275,0.51944,-1.1514,-0.58536
-1.5213,-0.65549,0.62832,-0.32374,1.2015,1.0517,1.6749,0,0.17262,-0.26449,0.52039,-1.8819,0.42947,-0.83316,0.17072,-0.094395,0.32201,1.0074,-0.94368,-1.0123
-1.5213,-0.65549,0.62832,-0.32374,1.2015,0.96268,1.6749,0,0.17262,-0.26449,0.52039,-1.8819,0.42947,-0.83316,0.17774,-0.08451,0.34014,1.0924,-0.87165,-1.0794
-1.5213,-0.65549,0.62832,-0.32374,1.2015,0.85749,1.6749,0,0.17262,-0.26449,0.52039,-1.8819,0.42947,-0.83316,0.18558,-0.070657,0.3604,1.1756,-0.78273,-1.1407
-1.5213,-0.65549,0.62832,-0.32374,1.2015,0.80085,1.6749,0,0.17262,-0.26449,0.52039,-1.8819,0.42947,-0.83316,0.18958,-0.062274,0.37072,1.2144,-0.73359,-1.1674
-1.5213,-0.65549,0.62832,-0.32374,1.2015,0.72802,1.6749,0,0.17262,-0.26449,0.52039,-1.8819,0.42947,-0.83316,0.19445,-0.050599,0.38331,1.2595,-0.66943,-1.1965
-1.5213,-0.65549,0.62832,-0.32374,1.2015,0.52574,1.6749,0,0.17262,-0.26449,0.52039,-1.8819,0.42947,-0.83316,0.20623,-0.013389,0.41374,1.3643,-0.48705,-1.2541
-1.5213,-0.65549,0.62832,-0.32374,1.2015,0.29109,1.6749,0,0.17262,-0.26449,0.52039,-1.8819,0.42947,-0.83316,0.21619,0.036924,0.43947,1.4631,-0.27095,-1.2909
-1.5213,-0.65549,0.62832,-0.32374,1.2015,0.26681,1.6749,0,0.17262,-0.26449,0.52039,-1.8819,0.42947,-0.83316,0.21697,0.042466,0.44149,1.4725,-0.24843,-1.2933
