Arm1_Actual_J1_rad,Arm1_Actual_J2_rad,Arm1_Actual_J3_rad,Arm1_Actual_J4_rad,Arm1_Solved_J1_rad,Arm1_Solved_J2_rad,Arm1_Solved_J3_rad,Arm1_Solved_J4_rad,Arm1_JointErr_J1_rad,Arm1_JointErr_J2_rad,Arm1_JointErr_J3_rad,Arm1_JointErr_J4_rad,Arm1_JointErr_J1_deg,Arm1_JointErr_J2_deg,Arm1_JointErr_J3_deg,Arm1_JointErr_J4_deg,Arm1_Target_X_m,Arm1_Target_Y_m,Arm1_Target_Z_m,Arm1_Calc_X_m,Arm1_Calc_Y_m,Arm1_Calc_Z_m,Arm1_PosErr_X_m,Arm1_PosErr_Y_m,Arm1_PosErr_Z_m,Arm1_Total_Pos_Error_m,Arm1_Converged,Arm2_Actual_J1_rad,Arm2_Actual_J2_rad,Arm2_Actual_J3_rad,Arm2_Actual_J4_rad,Arm2_Solved_J1_rad,Arm2_Solved_J2_rad,Arm2_Solved_J3_rad,Arm2_Solved_J4_rad,Arm2_JointErr_J1_rad,Arm2_JointErr_J2_rad,Arm2_JointErr_J3_rad,Arm2_JointErr_J4_rad,Arm2_JointErr_J1_deg,Arm2_JointErr_J2_deg,Arm2_JointErr_J3_deg,Arm2_JointErr_J4_deg,Arm2_Target_X_m,Arm2_Target_Y_m,Arm2_Target_Z_m,Arm2_Calc_X_m,Arm2_Calc_Y_m,Arm2_Calc_Z_m,Arm2_PosErr_X_m,Arm2_PosErr_Y_m,Arm2_PosErr_Z_m,Arm2_Total_Pos_Error_m,Arm2_Converged
-8.1555e-05,0,0,0,-7.86188802044455e-05,2.88551994494575e-08,1.33068823348713e-05,0.000146843719654769,2.93611979555453e-06,2.88551994494575e-08,1.33068823348713e-05,0.000146843719654769,0.000168227272430088,1.65328114546213e-06,0.000762428196265318,0.00841352538422053,0.556,0.0281,0.10904,0.555999997878973,0.0281000150047037,0.109039984420433,-2.12102657659585e-09,1.50047037190959e-08,-1.55795668033143e-08,2.1733908742226e-08,1,0,0,0,0,-0.216296219489663,6.61948357605125e-08,0.462462714646076,0.321809754914638,-0.216296219489663,6.61948357605125e-08,0.462462714646076,0.321809754914638,-12.392860501393,3.79268471463902e-06,26.4971617313831,18.4383407627481,0.9058,0.106,0.109,0.90579997604991,0.106000033571602,0.109000032346163,-2.39500896892508e-08,3.35716021648835e-08,3.23461630397093e-08,5.24111966227811e-08,1
-0.024356,0,0,0,-0.0263161326385887,-2.416609832609e-07,0.00430606284765856,0.0030727451434716,-0.00196013263858869,-2.416609832609e-07,0.00430606284765856,0.0030727451434716,-0.112307327476974,-1.38461544138312e-05,0.24671922748892,0.176055328240244,0.55584,0.0281,0.12242,0.555835266100958,0.0280998743368482,0.12241968368897,-4.73389904220856e-06,-1.25663151828714e-07,-3.16311029896488e-07,4.74611883934492e-06,1,0,0,0,0,-0.216296219489663,6.61948357605125e-08,0.462462714646076,0.321809754914638,-0.216296219489663,6.61948357605125e-08,0.462462714646076,0.321809754914638,-12.392860501393,3.79268471463902e-06,26.4971617313831,18.4383407627481,0.9058,0.106,0.109,0.90579997604991,0.106000033571602,0.109000032346163,-2.39500896892508e-08,3.35716021648835e-08,3.23461630397093e-08,5.24111966227811e-08,1
-0.58267,0,0,0,-0.585532939511959,-6.31077979732855e-10,0.0063287042691921,0.150973659605946,-0.0028629395119586,-6.31077979732855e-10,0.0063287042691921,0.150973659605946,-0.164034351036471,-3.61581047823351e-08,0.362608044411133,8.65015351306542,0.4651,0.0281,0.41213,0.465100000303741,0.0280999996718426,0.412129999830644,3.03740921303586e-10,-3.28157393619799e-10,-1.69355862666976e-10,4.78149799206657e-10,1,0,0,0,0,-0.216296219489663,6.61948357605125e-08,0.462462714646076,0.321809754914638,-0.216296219489663,6.61948357605125e-08,0.462462714646076,0.321809754914638,-12.392860501393,3.79268471463902e-06,26.4971617313831,18.4383407627481,0.9058,0.106,0.109,0.90579997604991,0.106000033571602,0.109000032346163,-2.39500896892508e-08,3.35716021648835e-08,3.23461630397093e-08,5.24111966227811e-08,1
-0.60694,0,0,0,-0.606938314067256,-1.8479379916369e-07,-1.44579036160585e-07,0.217950751139026,1.68593274441076e-06,-1.8479379916369e-07,-1.44579036160585e-07,0.217950751139026,9.65968307976445e-05,-1.05879047722676e-05,-8.28376857807084e-06,12.4876581819723,0.45761,0.0281,0.42321,0.457608203679678,0.028099903907224,0.423208752654652,-1.7963203224336e-06,-9.60927759585672e-08,-1.24734534762139e-06,2.18903424793037e-06,1,0,0,0,0,-0.216296219489663,6.61948357605125e-08,0.462462714646076,0.321809754914638,-0.216296219489663,6.61948357605125e-08,0.462462714646076,0.321809754914638,-12.392860501393,3.79268471463902e-06,26.4971617313831,18.4383407627481,0.9058,0.106,0.109,0.90579997604991,0.106000033571602,0.109000032346163,-2.39500896892508e-08,3.35716021648835e-08,3.23461630397093e-08,5.24111966227811e-08,1
-0.69595,0,0,0,-0.717518872685379,-1.2862684133737e-05,0.0475429968511821,0.456384594975089,-0.0215688726853793,-1.2862684133737e-05,0.0475429968511821,0.456384594975089,-1.23580537372724,-0.000736977514073019,2.7240130649765,26.1489111268601,0.42789,0.0281,0.46219,0.427769307239868,0.0280933150359294,0.462088923412886,-0.000120692760132157,-6.68496407059752e-06,-0.000101076587114113,0.000157568739144478,0,0,0,0,0,-0.216296219489663,6.61948357605125e-08,0.462462714646076,0.321809754914638,-0.216296219489663,6.61948357605125e-08,0.462462714646076,0.321809754914638,-12.392860501393,3.79268471463902e-06,26.4971617313831,18.4383407627481,0.9058,0.106,0.109,0.90579997604991,0.106000033571602,0.109000032346163,-2.39500896892508e-08,3.35716021648835e-08,3.23461630397093e-08,5.24111966227811e-08,1
-0.71213,0,0,0,-0.745511381968424,-2.93993535860084e-05,0.0735892568938136,0.479239962843849,-0.0333813819684238,-2.93993535860084e-05,0.0735892568938136,0.479239962843849,-1.91261230110479,-0.00168445888089108,4.21635383751952,27.4584272449589,0.42212,0.0281,0.46898,0.421840741930341,0.0280847322183841,0.468738117726398,-0.000279258069658894,-1.52677816159102e-05,-0.000241882273602279,0.00036976372037842,0,0,0,0,0,-0.216296219489663,6.61948357605125e-08,0.462462714646076,0.321809754914638,-0.216296219489663,6.61948357605125e-08,0.462462714646076,0.321809754914638,-12.392860501393,3.79268471463902e-06,26.4971617313831,18.4383407627481,0.9058,0.106,0.109,0.90579997604991,0.106000033571602,0.109000032346163,-2.39500896892508e-08,3.35716021648835e-08,3.23461630397093e-08,5.24111966227811e-08,1
-0.67976,0,0,0,-0.702961089263771,-1.50481737171275e-05,0.0511314667262841,0.440423992274113,-0.023201089263771,-1.50481737171275e-05,0.0511314667262841,0.440423992274113,-1.32932449492036,-0.000862196843371095,2.92961724372968,25.234435953609,0.43355,0.0281,0.4553,0.433410076121261,0.0280921798638083,0.455186422338789,-0.000139923878738901,-7.82013619170588e-06,-0.000113577661210951,0.00018038772546253,0,0,0,0,0,-0.216296219489663,6.61948357605125e-08,0.462462714646076,0.321809754914638,-0.216296219489663,6.61948357605125e-08,0.462462714646076,0.321809754914638,-12.392860501393,3.79268471463902e-06,26.4971617313831,18.4383407627481,0.9058,0.106,0.109,0.90579997604991,0.106000033571602,0.109000032346163,-2.39500896892508e-08,3.35716021648835e-08,3.23461630397093e-08,5.24111966227811e-08,1
-0.46939,0,0,0,-0.469378767011324,-1.42468663174471e-08,-1.97301696545475e-07,0.533182332746653,1.1232988675558e-05,-1.42468663174471e-08,-1.97301696545475e-07,0.533182332746653,0.000643602842427722,-8.16285311276808e-07,-1.13045545028266e-05,30.5490973773231,0.49642,0.0281,0.35819,0.496419847715735,0.0280999925916295,0.358189922746646,-1.52284264476332e-07,-7.40837048651688e-09,-7.72533537141129e-08,1.70919460040221e-07,1,0,0,0,0,-0.216296219489663,6.61948357605125e-08,0.462462714646076,0.321809754914638,-0.216296219489663,6.61948357605125e-08,0.462462714646076,0.321809754914638,-12.392860501393,3.79268471463902e-06,26.4971617313831,18.4383407627481,0.9058,0.106,0.109,0.90579997604991,0.106000033571602,0.109000032346163,-2.39500896892508e-08,3.35716021648835e-08,3.23461630397093e-08,5.24111966227811e-08,1
-0.44511,0,0,0,-0.44180205847675,-4.66064040283572e-10,-0.00727881344114202,0.257457006181191,0.00330794152324987,-4.66064040283572e-10,-0.00727881344114202,0.257457006181191,0.189531088158294,-2.67035024910639e-08,-0.417045290040533,14.7511998602558,0.50232,0.0281,0.34619,0.502320000148341,0.0280999997576498,0.346189999739979,1.48341450234568e-10,-2.42350212814602e-10,-2.60021282283418e-10,3.85162146049285e-10,1,0,0,0,0,-0.216296219489663,6.61948357605125e-08,0.462462714646076,0.321809754914638,-0.216296219489663,6.61948357605125e-08,0.462462714646076,0.321809754914638,-12.392860501393,3.79268471463902e-06,26.4971617313831,18.4383407627481,0.9058,0.106,0.109,0.90579997604991,0.106000033571602,0.109000032346163,-2.39500896892508e-08,3.35716021648835e-08,3.23461630397093e-08,5.24111966227811e-08,1
-0.21855,0,0,0,-0.218542923519079,-3.00665134030619e-07,-3.52631268793897e-08,0.156091559061609,7.07648092149182e-06,-3.00665134030619e-07,-3.52631268793897e-08,0.156091559061609,0.000405452490606329,-1.72268432266897e-05,-2.02042834262336e-06,8.94338755184721,0.5429,0.0281,0.22844,0.542896512517839,0.0280998436541293,0.228439225870918,-3.48748216061345e-06,-1.56345870715169e-07,-7.74129081726471e-07,3.57578686264456e-06,1,0,0,0,0,-0.216296219489663,6.61948357605125e-08,0.462462714646076,0.321809754914638,-0.216296219489663,6.61948357605125e-08,0.462462714646076,0.321809754914638,-12.392860501393,3.79268471463902e-06,26.4971617313831,18.4383407627481,0.9058,0.106,0.109,0.90579997604991,0.106000033571602,0.109000032346163,-2.39500896892508e-08,3.35716021648835e-08,3.23461630397093e-08,5.24111966227811e-08,1
