Actual_J1_rad,Actual_J2_rad,Actual_J3_rad,Actual_J4_rad,Solved_J1_rad,Solved_J2_rad,Solved_J3_rad,Solved_J4_rad,JointErr_J1_rad,JointErr_J2_rad,JointErr_J3_rad,JointErr_J4_rad,JointErr_J1_deg,JointErr_J2_deg,JointErr_J3_deg,JointErr_J4_deg,Target_X_m,Target_Y_m,Target_Z_m,Calc_X_m,Calc_Y_m,Calc_Z_m,PosErr_X_m,PosErr_Y_m,PosErr_Z_m,Total_Pos_Error_m,Converged
0.0057951,0,0,0,0.00578387905562231,6.40645596579495e-08,1.47203953268828e-05,0.00012582829921563,-1.12209443776856e-05,6.40645596579495e-08,1.47203953268828e-05,0.00012582829921563,-0.000642912754992434,3.67062888476458e-06,0.000843416524994486,0.00720943048836488,0.55599,0.0281,0.10581,0.555990762553205,0.028100033313571,0.105809998765126,7.62553204802785e-07,3.33135709885968e-08,-1.23487378655973e-09,7.63281539852942e-07,1
-0.13526,0,0,0,-0.135265506091319,-1.64210729513545e-07,4.06287361579269e-06,0.000116811068516083,-5.50609131874658e-06,-1.64210729513545e-07,4.06287361579269e-06,0.000116811068516083,-0.0003154757941778,-9.40858175189046e-06,0.000232785510879978,0.00669278122638506,0.55097,0.0281,0.18329,0.550967978638724,0.0280999146104204,0.18328973025101,-2.0213612754727e-06,-8.53895796397441e-08,-2.6974898970078e-07,2.04106768720105e-06,1
-0.4056,0,0,0,-0.405604490853762,2.10348643842258e-07,1.25331181967256e-07,0.000116271926553062,-4.49085376152958e-06,2.10348643842258e-07,1.25331181967256e-07,0.000116271926553062,-0.000257306966946095,1.20520895184619e-05,7.1809477681099e-06,0.00666189066734554,0.5113,0.0281,0.32637,0.511302212285504,0.0281001093812943,0.32637093870403,2.21228550401076e-06,1.09381294296357e-07,9.38704029562754e-07,2.40568839917297e-06,1
-0.49964,0,0,0,-0.499638185454429,-2.89677041965051e-07,1.0233666264009e-05,0.000103399200281954,1.8145455711327e-06,-2.89677041965051e-07,1.0233666264009e-05,0.000103399200281954,0.000103965802960059,-1.65972719264315e-05,0.000586345885873128,0.00592433778118386,0.48866,0.0281,0.37294,0.488656994082226,0.0280998493679372,0.372938346481235,-3.0059177739683e-06,-1.50632062774492e-07,-1.6535187650768e-06,3.43399999834819e-06,1
-0.71122,0,0,0,-0.711219817862854,4.55932909934767e-07,5.4506841425465e-06,0.000116238206855146,1.82137146143013e-07,4.55932909934767e-07,5.4506841425465e-06,0.000116238206855146,1.04356897665521e-05,2.61230314803804e-05,0.000312301196826798,0.00665995867096851,0.42244,0.0281,0.4686,0.422444097619309,0.0281002370851108,0.468603535475558,4.09761930936225e-06,2.37085110786628e-07,3.53547555831391e-06,5.41722076139141e-06,1
-0.76999,0,0,0,-0.769996111716014,-1.24343748891588e-07,2.4388745463234e-06,0.000130514990916449,-6.11171601394567e-06,-1.24343748891588e-07,2.4388745463234e-06,0.000130514990916449,-0.000350175533181605,-7.12437202032248e-06,0.000139737218266214,0.00747795814270083,0.4006,0.0281,0.4925,0.4005989055258,0.0280999353412504,0.492498929400183,-1.0944742001584e-06,-6.46587496114237e-08,-1.0705998165772e-06,1.53239632470481e-06,1
-0.76999,0,0,0,-0.769996111716014,-1.24343748891588e-07,2.4388745463234e-06,0.000130514990916449,-6.11171601394567e-06,-1.24343748891588e-07,2.4388745463234e-06,0.000130514990916449,-0.000350175533181605,-7.12437202032248e-06,0.000139737218266214,0.00747795814270083,0.4006,0.0281,0.4925,0.4005989055258,0.0280999353412504,0.492498929400183,-1.0944742001584e-06,-6.46587496114237e-08,-1.0705998165772e-06,1.53239632470481e-06,1
-0.76999,-0.035346,0,0,-0.769990172398752,-0.0353455752290782,1.62546257140491e-05,0.000206849788409002,-1.7239875238495e-07,4.24770921818307e-07,1.62546257140491e-05,0.000206849788409002,-9.87772090497858e-06,2.43375810800705e-05,0.000931321450979838,0.0118516198690099,0.40095,0.0097099,0.49283,0.400948849774138,0.00970988698458954,0.492828883945861,-1.15022586183455e-06,-1.30154104594632e-08,-1.11605413943838e-06,1.60273696416474e-06,1
-0.76999,-0.27043,0,0,-0.769997192491452,-0.27042063272365,3.00216252130392e-05,3.88801006661542e-05,-7.19249145164635e-06,9.36727635020285e-06,3.00216252130392e-05,3.88801006661542e-05,-0.000412099404363259,0.000536705400399333,0.00172011241883069,0.00222766567521442,0.39141,-0.11164,0.48358,0.391409125188251,-0.111639723006584,0.483579164682179,-8.7481174876336e-07,2.76993415967985e-07,-8.35317821412662e-07,1.24087743594346e-06,1
-0.76999,-0.65832,0,0,-0.770007289585453,-0.658327268350605,3.16116232562637e-05,3.37548780232442e-05,-1.72895854527733e-05,-7.26835060471664e-06,3.16116232562637e-05,3.37548780232442e-05,-0.000990620275974692,-0.000416445813671623,0.00181121259614151,0.00193401204871079,0.3326,-0.2948,0.42656,0.332597954805002,-0.29479798493915,0.426558018021243,-2.04519499791278e-06,2.01506084956948e-06,-1.98197875650452e-06,3.48877236262132e-06,1
